	C0	C1	C2	C3	C4
EPHX4	0.13328252117695324	0.002347762185687014	0.08412687355580896	0.0002618376916937029	0.363966029935204
DUS1L	0.835228362507824	0.779166163436484	0.5127665177931243	0.41456369029116696	0.25236618219553475
ABHD16A	0.35125570183807403	0.2988580616787447	0.19203049503210157	0.17208580943806792	0.14887011732734962
NXF1	0.7134235106964639	0.6594036991251185	0.33883569026396115	0.4185420257929839	0.43704051218724377
FBXW7	0.6075543435581167	0.6982392385229564	0.37172446958856625	0.5954293163383952	0.5895642612658669
USP4	0.6627121603121149	0.6159107860188802	0.37516307005465693	0.48953143385570863	0.4458698276305573
FAM117A	0.5264438613920862	0.39402908201647424	0.1509442989511946	0.22926241993838467	0.3053746721431481
TAF13	0.2512677063110568	0.8052795121452563	0.4404371494698865	0.7120156927024183	0.5925612916637562
CYC1	0.8431391569088524	1.2066027677372495	0.652938893948897	0.659543058310307	0.3215340526968535
CDCA3	1.8510842540304723e-18	1.0354870107796805e-18	0.35830522814008	0.26078397746007387	1.1707068190167157e-18
FXR2	0.6162415343329695	0.7331596081055809	0.4039750712279835	0.42812773714112523	0.35170015393360743
THOC5	0.5918933857341785	0.6093361300130576	0.3516428336593151	0.4294053976716808	0.31654629747181684
S1PR3	0.5070297397166295	0.588701356539834	0.20239930697779754	0.4458393693165686	0.7129246246974654
SIGLEC15	0.0037372652294226255	2.2408531763015707e-14	0.22655114840974405	1.0498423482515957e-18	0.00045860915218012566
COCH	1.789814667878363e-18	1.2809249443660788e-18	0.3678702571291778	4.875757508540476e-18	0.5040910660607755
QRSL1	0.22319056850834473	0.4011970531878242	0.23423152086490595	0.25630806212511037	0.29258194946731336
EPHA4	0.5183520641245597	0.4647212011563738	0.03269629746961595	0.14545369056733387	0.4876320645253132
MRPS26	0.6701656264600182	0.7594845312497406	0.4511564391180534	0.3481315491550327	0.18960574049010373
IL12RB2	0.007433152660055514	1.1621970976559996e-17	0.00039645870916121963	0.6363980903346425	0.598364558169502
ATP5D	0.8541945033838382	1.2616889946004577	0.6074109695235376	0.6074597639318501	0.42145519400036924
CUL5	0.44978914087732585	0.8421984105436219	0.37616995188155095	0.57209104244092	0.5834902111567544
SUMO1	0.33538268680304595	0.8966033176532704	0.434524852975553	0.636286874000296	0.621224480885402
AHCTF1	0.4697715446678919	0.8026024788543072	0.41712492231718135	0.637287561059771	0.5690859283967428
GPCPD1	0.41955562530362384	0.4508889205108697	0.2169657135059279	0.4886512367504958	0.5346351718934673
GAPDH	0.6843885984802935	1.1923846608147677	0.6955226255239011	0.9411690489833032	0.36749906628184503
SLC38A8	1.1061427002197595e-18	0.001517702125922909	0.08304845201076347	5.587518194758511e-19	3.4341446716582524e-10
DYRK1A	0.6497146496140647	0.9154036053007865	0.46105110060598975	0.6484076295110662	0.621539202272497
HNRNPA3	0.3580677138972213	0.6068472768685496	0.3242380894226775	0.5133897382188718	0.49906950298782143
SLC29A3	0.534004825396105	0.5448365338257456	0.36989544498975324	0.48736894056578556	0.3468460795066271
SMG6	0.7348980878246362	0.6858752094419448	0.3565213311399688	0.4417672409275853	0.42432052887686417
SMG8	0.43998693508845715	0.6401852487792223	0.37432977178050464	0.428819135324089	0.3102333296334676
SEH1L	0.3303268034454187	0.7058485652910732	0.3583009519319385	0.47739866928886376	0.441584324424933
EIF3H	0.6648828285699289	1.2159763599056261	0.6411741908700973	0.8653794160621955	0.696984668228813
EIF3B	0.7192094439466673	1.0168206156595747	0.6007360505644572	0.7130626355982942	0.40747698504126584
QKI	0.5154297652112056	0.7610899148980829	0.37450385550940446	0.6269326069612079	0.6332003588049909
KAT6A	0.7079395654188587	0.8525044277267266	0.43515557390006604	0.5795933436382281	0.578825552700193
MEX3D	0.6935774902367355	0.6212027949370389	0.4394957092647427	0.37956964866014015	0.182308312165954
TCP11	8.645758779278764e-19	0.0018124723581869737	0.008569549105720475	8.747050204076183e-19	0.021972309959847173
SPRY2	0.5315387272674157	0.584607534303742	0.20101281113120126	0.2875901013571056	0.5132804208417517
RUNX2	0.4448288710402581	0.36579109370347135	0.3585520192746271	0.7396335670898759	0.595649881063837
SPRED1	0.5017358675599619	0.6142222548736991	0.3402575641860855	0.5594486437368448	0.5630699798308484
IGFLR1	0.6124580678647311	0.49330404482251283	0.3783700491496124	0.5895675282636902	0.30123073396828337
KCNIP4	0.15284419757709775	0.7203454477779481	2.054230307314815e-18	0.4218494147769324	0.22748247767566437
PGP	0.4738979133435208	0.3747866829160318	0.35074745749952113	0.16335926134899287	0.07127042166219748
OFD1	0.699999997300369	0.8014753196776455	0.3834672771675091	0.6045868161252852	0.4636184754748435
CDC14A	0.37817936141746195	0.34798493805613506	0.13722260358527433	0.36029378025297415	0.5605148440797465
PPP6R1	0.7974816341522675	0.7301250635927906	0.5006350175939155	0.5064753631767892	0.285067502840481
CPNE5	0.5920663989439358	0.10408343979700464	0.0021470700745872835	0.11408390966702338	0.38030264848970546
ILDR1	0.3555351678130318	0.4569032047497928	0.05981617424997032	0.1292564683808583	0.09959036367341821
CCNF	0.38089944241386137	0.1802970016179204	0.4387271988814338	0.43635501866797044	0.028459848446906886
MAD2L1	5.483361154703871e-13	0.3517006130220058	0.48810116521371855	0.5825100265570182	0.33578599614944954
SNRNP70	1.138988512906575	1.0468485458335341	0.5469033011733497	0.6285530361042516	0.5143351200947791
AGPAT1	0.3254312969596779	0.38648592018309696	0.2094414433367287	0.15367693416429054	0.055149048594593124
TRIM39	0.0033387613286493564	0.0012252476185819513	0.0006823107811300208	0.00042628149349311864	4.20158602390013e-18
SCN5A	0.011658092474825823	2.8148478966766144e-13	0.06595645112835931	6.210250550641335e-19	0.01614886739606208
PHGDH	0.6022949186632849	0.7707949404238961	0.42872594340060366	0.053523849716688554	0.44150943167543016
CNOT3	0.7266147488101227	0.7003532783642646	0.4097966487530207	0.4585810283563382	0.3138372918710813
METTL4	0.13176728193047427	0.30453429556891365	0.13424810013000263	0.31844207837636196	0.423477614315971
VMAC	0.6318429332517101	0.27642310701778106	0.19039945957523705	0.08977779622334084	0.11922540030433743
PANK4	0.7530123279368924	0.5918474372417802	0.33236849806012436	0.3363780041299672	0.28663106728251414
SERBP1	0.3745383313968823	0.8119436435866694	0.4260342539434731	0.6868234353317373	0.5290371473820572
NKX2-8	0.0018221096927444667	0.0012407194424264975	0.013858932288255592	8.701084970538295e-18	0.0005571209879339015
EHMT1	0.8441632956702708	0.8247835028565861	0.4848868734771682	0.5372969756426829	0.4780010978869932
ST6GAL1	0.6824068657858513	0.9035259821514476	0.4262274655912909	0.6490307128575394	0.6007460824553468
GRIK2	1.3120748773432917e-09	1.5526210486547916e-09	0.0032275361419710075	2.8150974616888753e-13	0.5019653303042337
ANAPC2	0.9796159931070803	0.6968555354970404	0.3883225952829886	0.30018423834965685	0.2502268655357887
FNDC3B	0.6327038653407396	1.0308215441616666	0.5547945332934969	0.8942555109243595	0.5592106218978334
ZFYVE21	0.6035033186578008	0.7082906316733814	0.3511726084462612	0.2855826804863731	0.39424360498130334
FBXL15	0.5364205372286167	0.4371771638222361	0.23658278643216865	0.09846944775635741	0.01115109496586137
GPRIN3	0.47141229197545836	0.5030751871976674	0.2553959871027026	0.4400587349396985	0.5103708978382945
AMD1	0.4069470301769777	0.6097426420670624	0.271431818246479	0.3064080437287928	0.34892747068193486
FASTKD2	0.40214759208183787	0.7438568374589731	0.3197526050651305	0.47524364742700553	0.4762993041370287
CRISP1	2.061126931640664e-14	0.0013295665327662904	0.007723410829876192	3.5536254908510374e-07	0.0017347181016822088
ERMARD	0.5783550506279925	0.7289399421295203	0.32690056519025296	0.47185187895469716	0.4782163669887263
NXT2	3.0330715119454465e-18	0.22106901954640015	0.12899588657458327	0.2619970916858808	0.1912469498800869
RPUSD1	0.6610939546456069	0.500032517225477	0.36933598527505385	0.27978321957224195	0.04991728660615672
MSRB1	0.5713898109648697	0.8660469019874216	0.3749698642618664	0.42355153953777325	0.1101396411107127
SUV39H1	0.2214207797963402	0.214678847808277	0.2566503767179242	0.19932867457764633	0.05178253705102831
SYNGR3	0.010239528929330766	8.963926504151365e-19	0.25317220896629616	1.4582144665483555e-18	3.570016216749163e-14
RGS11	0.5743200957531082	3.890022805490015e-18	0.0018690116919513483	3.904219302452412e-18	0.42685251873617786
PITPNM2	0.7324269339220896	0.6401484210364793	0.3097292857530915	0.4341207678208291	0.13720990279731435
TADA3	0.651315025413095	0.6906264387766858	0.4395447974054004	0.44410865814611394	0.31623032027244774
PIM2	0.40183514798924963	0.21698044206855677	0.26765130745318577	0.6503473400161204	0.35698006570552343
STIL	0.20507731526064468	0.32403159051638986	0.46886062956933117	0.6064108434304989	0.3058164120223805
ACSBG2	0.0017041729364439125	0.0013430065208839708	0.00845440276417033	9.092731362010532e-19	0.0008585128047354006
SWI5	0.4878778343972945	0.6091703088966653	0.382838092009749	0.3285129620185729	0.26849778284665293
RAB8B	0.30702774355077844	0.6114285122792273	0.30599203877752496	0.6433399495873583	0.5602180470469665
EIF5B	0.41450395411731455	0.7985200498737333	0.4363569383036478	0.6555527639677812	0.5602986134103932
GRWD1	0.5941757600058892	0.5939711241405262	0.4001479408563738	0.3572831506859248	0.1648251109578589
LRRC47	0.7014319966797673	0.7003120708105016	0.3681156231915725	0.35931867385678595	0.24006097399201132
SPATA2	0.4054416903148387	0.4021893090490779	0.2835721265996746	0.2576297388988858	0.05080364526155062
NRD1	0.6573560384172485	0.9114090186806995	0.5097745383879605	0.7272609279013633	0.5640017654795233
SUCO	0.3813287270388111	0.7577908406739339	0.4807243034930178	0.6345912016980214	0.5693265319631141
PYROXD1	3.2950976130235006e-06	0.47645365596715944	0.16981007926894792	0.4858924842660265	0.4540304339230043
BRPF1	0.6882366504874079	0.5026549309058964	0.3621262908100984	0.3253841016989334	0.2917719516564201
FAM109B	0.3160397032920003	6.300174713190066e-19	0.1380613611686693	1.5791212150160095e-18	0.0013381068582944747
AP2S1	0.7720913664997661	1.0547787910126583	0.6387049541462526	0.729992624950713	0.5321015774822077
ZCCHC14	0.6705507607712512	0.6895960571115637	0.2949078887486179	0.23470207963270517	0.31509332138591806
NXT1	0.22835388244431995	0.4753476534570307	0.3455680435526558	0.4505222492473218	0.330603432244394
TAZ	0.7739509725654685	0.6168027482563412	0.3555490146978556	0.3792462391932396	0.23178933876928304
MOGS	0.9292000204914332	0.8877323396791026	0.5222225771600483	0.5752141689765364	0.3317099872131207
RANBP2	0.6106336478842573	0.927772594660032	0.49860397019155717	0.6562800746123342	0.6503129255906066
SMG9	0.6087975231497468	0.49125740566861953	0.39344277251544585	0.44998014861034785	0.3075183702754844
PPP6R3	0.6098982125641482	0.8705465909751141	0.42907443235029186	0.5978082614319724	0.5591160864269281
MTF1	0.4052880400009186	0.5449198742544994	0.3176939144306114	0.45399727880842233	0.35933117963504313
NUP188	0.6140124817785252	0.6501369894400353	0.39858354568807225	0.4365247639172466	0.4217731271311918
BAP1	0.7969506304710988	0.7711539160493479	0.4569245904991596	0.4268679353548867	0.40362789875581134
ZEB2	0.6799923816082659	0.7869091181897812	0.3642647715482606	0.6884137142579705	0.6774855729750766
TGFB2	0.27439550835560184	0.3187053511041929	0.18705224191591938	0.44838313972879856	0.6765489400197937
NKX2-5	8.4847081024207175e-19	0.0011833359751389947	0.1953812344374826	2.8098940511543755e-18	1.140465242682513e-18
NARS	0.548419075164082	1.0283649299202022	0.5452483371460454	0.6744244007150076	0.5599765169182831
SRSF7	0.6736218016332988	0.8087802130305767	0.46002365305733883	0.6108761185097381	0.5461075831453126
YARS	0.6036471413522807	0.8641335945422696	0.5604985878480213	0.682587564238849	0.44716146915321553
GIPC3	0.6795928737942465	0.5516301224727257	0.10547850871726486	0.28603342463913833	0.5973091869291073
IFNAR2	0.6074146339686448	0.7499778568569663	0.43642239895865975	0.7193958506606982	0.5136184407263664
EHMT2	0.4870486694099397	0.42987207274498423	0.2684561797640332	0.25236336546669424	0.15992041212038136
RPS26	0.5701740336512189	0.9781675390087268	0.6045057939849817	0.6414915515396196	0.4370257462004448
SLC25A20	0.586759278823963	0.7075250646536495	0.32025839387298877	0.35925157082896503	0.37478683712683813
NDC1	0.11792758961406104	0.45977999683839166	0.3311099774294983	0.470244496841128	0.36210586173920756
PGAP3	0.6933017788276582	0.7863923803440868	0.33610769667907137	0.37832055988968816	0.31269775901933383
NCKAP1	0.6594266193421975	1.1824252264968016	0.5815238614701096	0.7410408243867267	0.6738450629612126
NABP2	0.3648602413507606	0.7684154268050587	0.4123816511397164	0.6110081402154224	0.2953421161381653
CNOT11	0.570221132800599	0.9015352771006571	0.4870861579051974	0.7451904909960778	0.400274699209635
DNAJB13	0.0053818067470027845	1.0684397590751208e-17	0.0005593238649635428	1.2388798688399159	6.511347992201267e-17
PFN1	0.9795320016619835	1.3403989502799867	0.8202184826212837	1.0271339671487738	0.7107349310264564
SQSTM1	0.9458843566376802	1.3793914150098041	0.7639562393097453	0.8098065937604355	0.47726696439359145
CASP3	0.33654062200662793	0.5860154185934494	0.4218918103688222	0.6217079361649525	0.5422790311565938
NOP58	0.5301170222339765	0.8327258059610743	0.48483893529855393	0.6516113071948482	0.541330196501298
ERAP1	0.5148531020153927	0.8117676365642568	0.4444683528624082	0.7765176346685284	0.5167191340707453
PDIA3	0.7114826622831986	1.2385548701447642	0.680976386883365	0.9801574583137013	0.6375848132112238
TNFRSF1B	0.7794975072899791	0.7144570885524231	0.41393756745863863	0.6669602685453734	0.5018355889727407
STAT2	0.8768637642131745	0.7928065866269041	0.5152637117783389	0.7265796784245	0.4599817330947371
TRADD	0.8599370319210643	0.8129337785133945	0.3953950637667948	0.48507387814661246	0.20043344722731687
EIF3L	0.6580118562789288	1.0515684282228233	0.4882015462303643	0.6149291199390963	0.5948061340775237
ATP5SL	0.524104243243417	0.6453993088358337	0.34735186535688406	0.3596781625417019	0.2627476208178922
KMT2A	0.646468878091884	0.725279485739795	0.37261231011509505	0.5330676777664336	0.5102667424601818
ARID1A	0.8682391433598097	0.9674669786460774	0.5202037676813697	0.6746114183291023	0.5974755755278021
ADO	0.5730539938118652	0.5279939562219235	0.35824842260428946	0.29033278633583476	0.16578554557022523
WDR24	0.7410079190986228	0.5935299676169554	0.3701825084277834	0.22217872383031906	0.09205152802157138
NF2	0.6526010563747763	0.8614777808921859	0.48170294119227813	0.5307883202938637	0.32951574337312883
RC3H1	0.630438925981014	0.7905632624907702	0.4019523982639857	0.5687580023324477	0.5083334267385171
CALR	0.9950634341679162	1.4721616332783236	0.8422803680448219	1.1076352637106013	0.7081766288054058
FADD	0.6272436767990871	0.7509696575655918	0.46401187832369833	0.5052125494038272	0.23717025393744365
MEN1	0.7025230631346622	0.7280809127432971	0.42391896899663345	0.40177741025659064	0.25572755589368285
CASP8	0.4873082409147352	0.624826988491561	0.3798357232225721	0.6759411789239117	0.41917036269380836
IFNGR2	0.6071617850590084	0.9378081724291549	0.4974975685709975	0.7690482703531134	0.5231971620561874
TAP2	0.34227759666567376	0.2201832977800301	0.21747619269395024	0.353844390835302	0.21158058094845542
TAP1	0.5251293646457176	0.4480378756963922	0.37720892255115623	0.49444682353134817	0.15160163765263562
IFNGR1	0.5918175778337691	0.8752121644703795	0.43314253655093726	0.790579509193088	0.6877889270818398
B2M	1.0160796058528936	1.613284803617874	0.8426404036051446	1.245544005287684	0.9771385234201934
JAK2	0.5413211524670948	0.5907717359200781	0.33258327337329824	0.5876379831115265	0.6648078708887215
TNFRSF1A	0.8651812743510258	1.0966916402674176	0.5865884956368765	0.8262388111227579	0.5447038091311133
TAPBP	0.6458049156358512	0.9129080803276344	0.48809608818730055	0.7411481427139296	0.42155886280907306
STAT1	0.7048171584596229	0.9947186415658184	0.6682252299298233	1.0412039409740412	0.6792663823362987
JAK1	0.7843167186680925	1.1304045182595273	0.5328140091957688	0.7891832944046514	0.640858268885473
