	C0	C1
IGFLR1	0.4165140767058299	0.5294476410685639
KCNIP4	0.04854118075979213	0.5647519886575594
PGP	0.26253587377348625	0.3063071452700507
OFD1	0.4440014475436024	0.7325374630210104
CDC14A	0.2677678361836991	0.42991064243463073
PPP6R1	0.46809336540160223	0.6554697975773671
CPNE5	0.1570341502342964	0.3121659460832658
ILDR1	0.08192431355916723	0.36493499591547046
CCNF	0.3437502418641113	0.23371660610125192
MAD2L1	0.39891468484464815	0.28068185342882823
SNRNP70	0.5917415762082013	0.9554063275115603
AGPAT1	0.16998404109652304	0.2843301080021898
TRIM39	0.0007965177321260198	0.0015144378066619605
SCN5A	0.032407785074762704	1.1566439971396434e-09
PHGDH	0.3613110755703857	0.5415003347732202
CNOT3	0.4129433276092378	0.6276884721829622
METTL4	0.20474212962514837	0.3064096896053348
VMAC	0.20655250026777514	0.31718572880895685
PANK4	0.3514366045888524	0.5660865794316057
SERBP1	0.45105196043026813	0.6678780555440469
NKX2-8	0.005579578205749338	0.0003948279395616484
EHMT1	0.5072569400282356	0.7515521635312934
ST6GAL1	0.5004943001472328	0.7950596819276922
GRIK2	0.10735437883803829	0.07254020016670522
ANAPC2	0.3926943797778163	0.6546073813891861
FNDC3B	0.5884807755508814	0.8725556740413056
ZFYVE21	0.35051935908881127	0.5782862589811355
FBXL15	0.1901278168233206	0.34354756162477196
GPRIN3	0.33536911901827976	0.522670032142988
AMD1	0.2860554648020593	0.4852757555622163
FASTKD2	0.35911657605169045	0.5992038891336697
CRISP1	0.003343031622229334	0.00036153619409090473
ERMARD	0.38782079566968564	0.6390209958785159
NXT2	0.1447174701126857	0.17139744651743355
RPUSD1	0.3064486249618066	0.4399786668372208
MSRB1	0.3320538112037458	0.6177463009784482
SUV39H1	0.1899534014011743	0.1820009249666056
SYNGR3	0.08386607582037717	2.219760759983401e-19
RGS11	0.1631351465493526	0.2262634895675183
PITPNM2	0.3317632782031477	0.5793173641040257
TADA3	0.41753837583542086	0.593216573155703
PIM2	0.3692992553736136	0.3798090073794876
STIL	0.4147278240929589	0.3304093861468351
ACSBG2	0.003486963275985139	0.0008208483197509968
SWI5	0.33910054726206007	0.484533932644931
RAB8B	0.38877923609317827	0.568645742770996
EIF5B	0.46427131568308827	0.6673819227535281
GRWD1	0.3477092140004393	0.4948611300046144
LRRC47	0.3558275672491936	0.5923169917070098
SPATA2	0.2334908767580753	0.3278294194200176
NRD1	0.5421938836119004	0.7943408703718738
SUCO	0.48271838940037665	0.6279615270574415
PYROXD1	0.24008411148391917	0.3835050997665786
BRPF1	0.3606981238510432	0.49985857490868046
FAM109B	0.1239213621150833	0.05735511482798591
AP2S1	0.614163511444487	0.865766225013483
ZCCHC14	0.308264679495353	0.5718015053209539
NXT1	0.32321854809698763	0.3959680064381912
TAZ	0.362843371939576	0.5806428841165197
MOGS	0.514210432413586	0.783726284639578
RANBP2	0.5355061663505752	0.7859521653225291
SMG9	0.3933726901742833	0.4982215811459267
PPP6R3	0.47352334264455337	0.7424742846607475
MTF1	0.3395305484939438	0.4848380420755299
NUP188	0.41053389902452564	0.5871366395769892
BAP1	0.45364688764430494	0.6806594878723136
ZEB2	0.4964571293768326	0.7708748780650406
TGFB2	0.31260473111283504	0.4236919769803419
NKX2-5	0.06158290604213082	1.3618601434507483e-19
NARS	0.5321319299403183	0.7980286394059937
SRSF7	0.49903020841508416	0.7285911904336453
YARS	0.5310274756488759	0.7208300375487977
GIPC3	0.28142840421261983	0.5988667471785127
IFNAR2	0.49494927273881184	0.7062023886567008
EHMT2	0.2542085680067811	0.38337165764466846
RPS26	0.5365423554902623	0.7446469376811623
SLC25A20	0.3475357623829347	0.588140890501741
NDC1	0.31143580246222624	0.36981460901652186
PGAP3	0.3592589691501397	0.6456688189877705
NCKAP1	0.5941237146281876	0.9280062497378874
NABP2	0.38940034696425746	0.5888682715970095
CNOT11	0.49302402958554437	0.7454574983467986
DNAJB13	0.16909052104928793	0.340396090376735
PFN1	0.8049225764642847	1.130988994330763
SQSTM1	0.6931309961279238	1.0539903357014575
CASP3	0.44418179087084964	0.5394388853594143
NOP58	0.49736259204527766	0.7048980968740161
ERAP1	0.49490858079047645	0.7218445694294554
PDIA3	0.6848725849768357	1.0040771869368905
TNFRSF1B	0.49403722209477235	0.728971534753834
STAT2	0.5591881814881496	0.7828573633800007
TRADD	0.4011816671348041	0.7082025927659816
EIF3L	0.5156366584629175	0.8378033870410754
ATP5SL	0.3301788678997047	0.5226469207592515
KMT2A	0.43323603593240934	0.672211308358083
ARID1A	0.5704781115883985	0.870508750350524
ADO	0.31595089676435506	0.44803636240423117
WDR24	0.31333836864182296	0.49719929820068604
NF2	0.4501731806387849	0.6889849801271538
RC3H1	0.45293180802785465	0.6986056216078307
CALR	0.829473174837418	1.2095277878658077
FADD	0.41902891902441947	0.6132589232402388
MEN1	0.3944770841299283	0.6086561057439108
CASP8	0.42833951414469046	0.5988135412835114
IFNGR2	0.5284264486116207	0.7974109040427912
TAP2	0.24548113909033809	0.2862121940385199
TAP1	0.35181102884779825	0.444427207508642
IFNGR1	0.5329013348481519	0.8049539710929251
B2M	0.9001957038413955	1.3592901783730114
JAK2	0.4433730975584057	0.6248956251887994
TNFRSF1A	0.6161644968383982	0.9461455027426114
TAPBP	0.504651801303405	0.7757367383601764
STAT1	0.7021875902597716	0.9156961402236403
JAK1	0.5878787530705875	0.9549048896017953
