	C0	C1	C2
CRISP1	0.0006151020440641592	0.005055219074775433	0.00041769433491046815
ERMARD	0.6323115857356535	0.3963681515801507	0.5325596768205328
NXT2	0.09600864445464062	0.11077946727916249	0.2736561435087311
RPUSD1	0.46042452186837346	0.33444700318388865	0.34371286207227714
MSRB1	0.5628269229381528	0.2788475965365031	0.5916804873331357
SUV39H1	0.1635557113362192	0.20172139701656663	0.2060875140712997
SYNGR3	4.3389318992405675e-18	0.14375885469623736	1.18878399944803e-17
RGS11	0.3345628572060038	0.2720953810141151	1.1269948996023012e-18
PITPNM2	0.5870807139773606	0.31498528649901514	0.4754852955734945
TADA3	0.5836037468323408	0.43784629298220423	0.5200215481768189
PIM2	0.3927579256781831	0.4171307484989288	0.3409304438920056
STIL	0.26299927919001737	0.4161662592238259	0.46477257352471313
ACSBG2	0.001589898002488094	0.00540768618220828	1.1159182506559503e-18
SWI5	0.4667758451688053	0.3537435122293864	0.4360745957205429
RAB8B	0.5154284261730814	0.36814216393120003	0.5712620549177282
EIF5B	0.6013420583031588	0.44541318127495627	0.6746546010989697
GRWD1	0.48474596814183046	0.36069526699894333	0.43879955821382755
LRRC47	0.6054448133917936	0.3699522794819847	0.46562612918749424
SPATA2	0.31601893417165305	0.23481782846669103	0.30358132849055397
NRD1	0.7481251430111163	0.5359721970351651	0.7493084406614974
SUCO	0.5586825186995718	0.48017381570808393	0.6560649113405792
PYROXD1	0.3067198801630744	0.19242540752537118	0.44396485469619185
BRPF1	0.5407439242918833	0.4167290235215481	0.35941082288408943
FAM109B	0.09948975555675024	0.1893476929465761	6.247298030844359e-19
AP2S1	0.801722992531736	0.6094257299773453	0.8428248771379229
ZCCHC14	0.6049210020318747	0.3412300620903372	0.3930337985835849
NXT1	0.339923128342156	0.3140553150053064	0.44332766475860935
TAZ	0.6159444463757647	0.393116944740808	0.42687516455272717
MOGS	0.7857065755372181	0.5321658279630842	0.6572470157767486
RANBP2	0.7418912512279757	0.5419659431955223	0.7294059283157631
SMG9	0.5119547600541595	0.4323125438863343	0.4193263794986
PPP6R3	0.7138957303987864	0.4767189662706946	0.6592803056784956
MTF1	0.46098379817036705	0.34144143506936875	0.45288870589254493
NUP188	0.5910604956185813	0.44266666943318816	0.4892344643182742
BAP1	0.7028738423177715	0.49960539789403746	0.5289322179839128
ZEB2	0.767960430157888	0.5073346242407827	0.6519159948436574
TGFB2	0.4611019987297439	0.36865300565705156	0.2988278019828823
NKX2-5	1.6864785767771742e-19	0.07490174182808296	0.02340686393950127
NARS	0.721195017341857	0.5110175130328413	0.7907278164878965
SRSF7	0.7142160450531296	0.5183044962886942	0.6383264671250981
YARS	0.6553035688143732	0.5199283581542178	0.7313486481147696
GIPC3	0.6870540616639311	0.3323511930750293	0.31766969912042536
IFNAR2	0.6728149726471185	0.49163732692591644	0.6630418745179887
EHMT2	0.3969149042476497	0.2735264395429099	0.30108299961040264
RPS26	0.6526826422057842	0.5164637637619914	0.7822353262498214
SLC25A20	0.5907078832206758	0.3665354425669404	0.4669104241271996
NDC1	0.2951771828347328	0.29272585908229615	0.45154088033815115
PGAP3	0.6489620939271846	0.3643557705235779	0.5119483798120162
NCKAP1	0.8433658484589948	0.5636243191590434	0.905421794981414
NABP2	0.4965952524259669	0.3303312261217642	0.6540468380251037
CNOT11	0.6705151873298134	0.4473284014688043	0.7597436519410669
DNAJB13	0.31016364950033715	0.05490178273278776	0.3832246806847902
PFN1	1.048013060882837	0.7945207421044221	1.1049051213549483
SQSTM1	0.9579602158810643	0.6539499920434706	1.0417001719563517
CASP3	0.485587390368568	0.4507961951250748	0.5667228010394376
NOP58	0.6515342083840884	0.4910336924514815	0.68798631146588
ERAP1	0.656278771481166	0.4688395584320738	0.7236368574957562
PDIA3	0.8857203827936789	0.6309553600697221	1.0479972098580745
TNFRSF1B	0.7472676360760317	0.520625554520621	0.5942645812343768
STAT2	0.7844274284791795	0.5843885486245475	0.6762536011542946
TRADD	0.7196625585729225	0.4001342468965333	0.5618503435956242
EIF3L	0.7820386596812302	0.5059799667965189	0.7697407689349547
ATP5SL	0.5077330696308919	0.3355755087168163	0.4542414622885894
KMT2A	0.677433282608262	0.4555314416530032	0.5503310969780708
ARID1A	0.8665940917070688	0.5945700787157625	0.7332187082879873
ADO	0.4528129943906165	0.3379804556428399	0.37472866025437435
WDR24	0.5271037418259942	0.3484932988936918	0.36027664590328196
NF2	0.6506155502441358	0.44572281689286164	0.6363516799412726
RC3H1	0.6810355107112565	0.4602958479400209	0.6107734517226089
CALR	1.0986158900856606	0.791207362736078	1.2096606843186648
FADD	0.5790862505842824	0.41267124339452504	0.5782581574097944
MEN1	0.6080471500672127	0.4109010234907101	0.5082451830249931
CASP8	0.5625778407500142	0.4169665726772655	0.5821931362859756
IFNGR2	0.7255679943625257	0.49844952802542336	0.7896727856113529
TAP2	0.30314515587882995	0.27628457333845957	0.23513258933971615
TAP1	0.4378398314181987	0.3645120417352702	0.41209552645431413
IFNGR1	0.7568317800294273	0.5208198126646709	0.7561323729107328
B2M	1.2560338968908833	0.8725714002134466	1.3067291571629212
JAK2	0.6456746169617714	0.49162406575897105	0.4952124081632495
TNFRSF1A	0.8985600322127388	0.5960850543763578	0.8778047389382194
TAPBP	0.7173598884900233	0.4742943375648949	0.7513227225659422
STAT1	0.8407864284599548	0.6957660832056507	0.9290803972494092
JAK1	0.9068927747791634	0.5694432104423498	0.8659879228634595
