row_id	RENCA.CTL.LAWSON..Gene..Statistic.Value	EMT6.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.LAWSON..Gene..Statistic.Value	X4T1.CTL.LAWSON..Gene..Statistic.Value	CT26.CTL.LAWSON..Gene..Statistic.Value	MC38.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.KEARNEY..Gene..Statistic.Value	MC38.CTL.KEARNEY..Gene..Statistic.Value	B16.CTL.PRFKO.KEARNEY..Gene..Statistic.Value	MDAMB231.CART.HER2.KEARNEY..Gene..Statistic.Value	MC38.NK.KEARNEY..Gene..Statistic.Value	MC38.CTL.PD1.KEARNEY..Gene..Statistic.Value	MC38.CTL.IgG.KEARNEY..Gene..Statistic.Value	MART1.CTL.LIBA.VRED..Gene..Statistic.Value	MART1.CTL.LIBB.VRED..Gene..Statistic.Value	K562.NK1_1.PECH..Gene..Statistic.Value	K562.NK2_5.PECH..Gene..Statistic.Value
DICER1	-2.73	-3.83	-0.98	-2.95	-1.5	-0.33	-0.807914158675527	-0.778999515762307	-1.52359465181543	-2.56956597706052	-2.54045607143053	-0.911940576297409	-0.130387317627183	-0.31776	-0.14054	-3.30503659417322	-2.31461520510607
MCL1	-2.68	-2.62	0.78	1.19	-7.16	NA	-1.72530789447322	-2.45965146610298	-1.90176411208216	0.315555393088032	-0.10411258972517	1.20511217586551	-1.14976663695804	0.31232	-0.63155	2.65915893183717	-0.989537974126515
XYLT2	-2.41	-4.49	1.23	1.17	-2.02	1.51	-1.22461583182173	-2.79818920256621	-1.8108633956004	-2.19044471677995	-2.68175990725497	2.51270933930234	2.01935822685907	-0.54546	-0.26051	1.29198597968153	1.68884050097997
IPPK	-0.55	-7.29	-3.18	-2.69	-5.02	1.04	-2.65419445351063	0.117706773017658	-2.49310329752433	-1.24901387238852	0.306741682691007	2.13193731630393	-2.23404670707472	-0.52595	0.13602	1.41776289690114	-2.26455501674098
PCBP2	-0.52	-6.18	-0.13	-2.86	-2.91	-0.34	-1.76549863166486	-1.85528177055317	-1.51987657047835	1.6027584202899	-2.77097918122576	-0.788644182424018	-2.26179616355952	1.0314	-0.16668	-2.36922511744091	-2.1803166190954
PTPN2	-9.98	-7.68	-5.6	-0.9	-9.35	-1.74	0.290962499899785	1.073604455131	-1.48686677867463	1.1461333023465	-2.16171695416467	-0.82224055779096	-2.20193358790394	0.30705	-1.1316	-4.54861551257103	-6.13831759916953
VPS13A	-9.62	-9.91	-0.26	-2.94	-2.68	-0.8	0.0181239145893705	-2.52430287878695	1.40336508170818	-0.117858217552985	-1.4988289970448	1.19047436442458	1.70722629180713	-0.55817	0.38377	-0.819817768744732	-1.42724946918682
FITM2	-9.55	-0.49	-3.43	-0.99	-9.52	NA	-2.53121546304131	-2.16546621485018	-1.78376413299216	-0.721860904273835	-2.29043694349234	2.41472254252014	-0.858312371307766	-0.21074	-0.79282	1.06560994879549	1.26586896265152
IKBKG	-7.82	-5.67	-0.1	-0.64	-6.64	-2.38	-1.30418650484769	1.04552584929329	1.69040761086237	-2.03353996666181	1.23175665306628	0.694162989351783	-0.830528572777877	-1.3208	-3.3647	-1.81425809388762	-0.824175228625066
RBCK1	-6.45	-2.57	-4.12	0.98	-11.52	NA	-0.798948973727131	-0.239652063239515	-0.867587850336999	-3.30574574289733	-2.11612709067009	-2.08806468639782	-0.936880559915785	-1.3479	-1.7648	-0.681871829006431	1.83718899315179
CFLAR	-5.29	-4.13	-5.25	-4.44	-16.51	NA	-0.489030646750193	-2.12546297918701	-0.606202941125973	-1.8143230818211	1.87797927739519	-0.527970227915305	1.238852843467	-0.957	-1.8285	-0.651629829148787	-0.308555073990299
EMC3	-5.11	-5.07	-1.26	0.3	-6.34	-2.48	0.539154866305436	-1.18560076503189	-1.65153196155823	-0.639158233203532	-1.39958375969692	-0.729329714612344	-1.06080176486867	-0.76698	-1.1619	-1.09207531154125	-0.186745729233046
SETD1A	-4.85	-3.25	-2.77	-0.24	-2.45	-0.6	-0.986964585978159	0.936491863254084	-1.31396494888669	2.13616459708607	1.77667334699383	-2.39214551327023	-2.64589127180854	0.24693	-0.60863	0.0120571741307866	-2.39568367925632
OTULIN	-4.51	-4.18	-2.13	-2.28	-3.94	-1.6	-0.201688824270904	0.283256787318845	-1.26080253571018	-1.34717461989384	-0.47896995922219	-2.11072448682395	-2.4353157482109	0.14274	-1.4381	-1.49350135436442	-0.783863856042903
CHIC2	-4.44	-3.98	-4.5	-1.51	-3.99	-0.6	-0.781888677007595	-1.04362267026744	-2.10130729270133	0.387724395971388	0.409108552729998	-1.22424451769808	-1.47037580693987	0.8198	0.2967	1.45865531771403	-2.27780832686389
TCEB1	-4.28	NA	NA	NA	-4.03	NA	0.814357811300595	-0.406656899988344	-1.36509879734318	2.17749036393706	-2.93025862283867	-0.261509012891822	-2.67235018231658	-1.0482	-0.21473	-1.47349355656972	-1.85854259796765
RGP1	-3.98	-3.6	-1.64	-0.2	-4.53	2.21	-2.38134816776609	-0.709394016244918	0.229448942516975	-3.07939711300662	-0.364559836718939	0.713688207470652	-0.188250865877881	0.64811	0.70703	-2.07766743942153	-2.04842882020434
TAB2	-3.92	-3.8	-2.81	-0.6	-5.19	NA	2.94268434321304	0.376264860937642	1.47224029378012	NA	-2.46263562437326	-1.94067261555899	1.18070483526252	-1.7655	-1.3505	-0.363434946934053	-1.05383165058631
TMEM208	-3.89	-4.61	-1.5	-1.84	-1.38	-1.68	-0.419843205258923	-1.37782929171473	-2.48557590688581	-1.76196033132589	2.68810870279285	0.860052687298299	-0.725932747265701	-1.2375	-0.97448	-2.38934596332396	-2.19625075996946
IST1	-3.53	-3.18	-4.79	0.41	-9.74	1.41	-0.489030646750193	-1.0058660695842	-0.683390692157993	-1.35944379914176	-0.131449162460824	1.29060119911517	-0.893928776426387	-0.72706	-2.5243	-0.845951143257313	-2.25543560480827
BAP1	3.15	-5.81	-3.25	2.12	-1.49	1.29	-0.95987128448099	-0.616779765817088	-3.34354257727615	-1.84429609701606	-2.30683536327192	-1.24497755709408	-1.97727990345858	1.0718	1.7479	-3.35853781375491	-3.69238592466571
UGP2	-2.93	-4.24	-2.5	0.98	-0.92	-0.59	-2.38134816776609	-0.85860224336482	-0.906899397139097	0.646863948869822	0.830528572777877	2.37155103919578	0.914793591017485	-0.12042	-1.0238	-1.48355882376207	-2.17157148204801
EMC6	-2.86	-4.72	-0.08	-0.32	-3.36	-0.85	-0.781888677007595	-0.79378604164418	-1.77512045622779	-0.20051222240499	0.906748139793597	-1.01132689022296	-1.40102699763186	-2.5151	-2.0382	-1.31997309808091	0.0337957813758676
NCSTN	-2.7	-4.73	-1.82	-3.51	-3.51	-1.62	-2.38134816776609	-0.493640631619787	-2.14769490992094	3.3219709479566	0.113290813646943	0.0492751787135897	1.19696550545661	0.14487	0.39142	1.95735283189609	1.63070775245453
UBE2M	-2.61	-2.66	1.83	0.66	-0.65	-0.39	0.900902804445159	-0.247708441526787	-0.591538002683739	-0.803233129971259	-1.89935359896508	2.25712924448622	-2.27723828601313	-1.4903	-0.064307	-2.84131436588061	-2.75151667319487
KDSR	-2.56	-1.79	2.67	1.36	-3.08	-0.68	-0.332515549811394	2.1240017169893	-1.48686677867463	1.80138638870346	1.3663344908225	-3.54924325962499	-1.85261193887511	0.18583	-1.0061	-3.7910694486367	-3.08306557973557
BIRC5	-2.47	1.1	0.27	NA	-2.18	NA	-0.510872983414942	0.0284289935919251	-1.05125824232118	-2.48994184232122	-2.68175990725497	-1.05030044643689	1.00039373642332	-0.015374	0.36084	-2.59142274134639	-1.94334904013404
VPS4B	-2.46	-4.08	-3.22	NA	-9.77	NA	-1.62166078391323	-0.987086980041043	-1.77429722105653	-0.0320652696047629	-1.22075182241424	0.60027946783557	-1.02997870957041	-0.53623	-0.96786	1.7485779531629	-1.58412181913565
POLR1E	-2.41	-0.34	0.28	NA	-2.16	0.11	0.013360726194795	-1.72788970726643	-2.15153495354798	1.00894711035745	-0.782399206498358	-0.868683991227168	-2.39488453352555	0.076177	-0.12468	-2.49179324386866	-2.20877923565093
NPM1	-2.07	-0.98	1.93	-1.83	-4.05	-0.79	-0.894190451896597	-0.65147486066462	-1.95276034023517	-1.93896171626538	-3.35404295027868	-0.263273218876268	0.482909494542557	0.22431	-1.3314	-1.27598732417922	-0.396928753553288
BARD1	2.05	0.37	-0.23	-0.76	-3.04	0.67	-1.54599406989635	-1.258862502087	-2.77276642494483	-1.51030349635663	-2.30683536327192	-0.0523623164761926	0.334556054122954	1.1202	-0.97706	-2.60711008112532	-3.67712226266509
GPATCH1	1.75	3.18	-2.11	0.25	-0.65	1.08	-0.386994877815924	-2.58178077643843	-0.66332879267421	-2.48948032266779	-2.43840587439206	-0.873849902668241	2.17366903166616	-0.82485	-0.61825	-2.34171046001857	-2.08452982727693
L3MBTL2	-1.49	-2.32	1.71	0.98	-3.27	-0.22	-3.00559704453827	-0.54374058489379	-0.580199634637541	-0.767944766420686	1.37032330917017	-0.125004484591648	-0.980458186256862	-1.0724	-2.4931	-0.25889014783032	-1.69913367332824
TFB2M	1.39	-0.19	0.22	0.78	-2.48	-0.97	-1.55119065909208	0.25930489873835	-1.79909281514644	-2.48994184232122	-2.36283381702398	-2.16982639495219	-1.2722621275481	0.072592	-0.080687	-2.91956525495454	-2.6849161703413
GP1BB	-1.31	-2.21	0.51	-1.63	0.02	-0.75	-2.38134816776609	-2.62772489925512	-1.73760748528002	-1.00159342049573	-0.453873330458806	1.96052892997065	2.33205115882771	0.21104	1.3713	-2.45116667702667	-0.25065610566133
MRE11A	1.18	-0.7	-2.23	2.18	1.46	0.9	-1.73753943282774	-2.62772489925512	-2.15153495354798	0.304377903661065	0.573331885600926	0.813799188620213	1.27677979717967	-0.13684	-0.68173	-3.08260112095314	-2.91588606167005
CENPO	-1.1	-3.95	-1.85	-1.35	-1.49	1.96	-0.158402048105341	-2.38988171185134	-1.54733701714308	0.595693501931585	-2.59240319415358	-1.21932727604913	-2.64382923779834	0.6176	-0.76146	-3.01927550477741	-1.38770793101828
CMAS	-1	-2.69	0.29	-0.05	-7.95	-1.16	0.672665689976925	-2.15425729360539	-2.70421487248338	-1.4496505210861	-0.33021170913353	1.90251392609579	-0.938943020121872	-1.3363	-1.8249	-3.1470726156357	-2.73485373573551
MAPKAPK2	-0.94	-2.75	0.98	-1.99	-3.1	-0.96	-0.136254616487774	-0.994416784512184	-0.237047423341468	0.322624020497566	-2.3129025063522	-1.89116741206019	-2.29690832472966	0.10435	0.17606	-2.45246292402239	-2.299721557463
SART3	-0.72	0.24	-2.43	-0.1	-2.27	1.53	0.436464156008116	0.424693668440109	-0.442869679073666	-2.23240814475565	-2.41092775508533	1.17538680511591	0.946134478550052	0.72755	-0.62819	-0.173294432128954	-1.82918432396203
KLF5	0.61	-5.67	-2.42	-3.06	-2	-0.85	2.3129025063522	0.311921740109461	-0.424172520299435	0.0732841553419419	1.36146115906255	0.65290116168418	-0.480179165759619	-2.3792	-1.3836	1.27706301766004	0.637038140934191
MRPL12	0.58	-0.39	-0.88	-0.3	-1.18	NA	0.380222848481748	0.71851467946452	-2.32733955674397	-2.26027804033808	-2.48121328554109	-1.99475140319072	-2.22981089194831	0.44156	-1.6647	-2.35516665765123	-1.64136341259797
MAP3K7	0.19	-1.88	-3.32	-0.04	-9.88	-1.05	-0.161423321040484	0.328756162616553	1.43066586754424	-0.570350493658044	-2.48781658678998	-0.380034238247834	1.80422526611318	-2.7052	-4.0037	0.320828975405602	-0.0548474470317437
UXS1	-0.34	-7.36	1.01	-3.65	-4.62	-1.14	2.10082876965465	-0.653863114077099	-1.71626254671349	-0.453151018712177	1.12643840153912	1.75776207962786	-1.45760300821397	-0.84346	-0.15858	-2.83513726378418	-3.69663047013926
NAA35	0.1	1.78	2.34	3.51	-3.67	0.36	-2.99208401270609	-1.31237392598459	-3.79913839180083	-0.713332550239939	-1.89935359896508	0.133775627975831	-2.47282970935733	-0.73047	0.09745	-2.55848948300771	-1.90510825940906
RAB5C	0.08	-4.73	-3.1	-2.41	-5.38	2.02	NA	NA	NA	-2.2078031270275	NA	NA	NA	-1.0982	-1.5363	2.11542195744186	-2.4095318912678
MRPS15	0.06	-2.23	1.62	0.63	-0.46	0.03	-0.0967310262187931	0.159975974528119	-2.12242577066257	-2.90723427180651	-2.47148817797133	1.99629336352132	-2.27999474750649	0.42509	-0.23505	-1.04168013919511	-0.646369635833908
TSG101	-0.03	-1.21	-0.07	NA	1.27	-0.23	-0.956024216392307	-0.612782747427254	-2.05376956448788	0.485756245380268	-0.577088015219747	-1.70606488277117	-2.40245136423403	-1.8357	-0.80089	-2.87536553211559	-1.83036083555168
ATG12	-16.24	-13.4	0.06	-1.53	-5.64	-1.87	1.63367076564998	0.0798959637875509	-2.08602895844499	1.21974910582749	1.21192785075562	0.321066495429265	-2.05841826393619	-0.58789	-1.0347	-0.380249793904918	-1.2200128596937
ATG3	-14	-12.53	-1.46	-1.33	-7.3	-0.49	-1.71625161456647	-1.99839364566711	-2.40848692656005	-1.65120853956879	1.48695006481332	-0.942767184796638	0.0322408243066052	0.17836	-0.081548	0.223431102245837	-0.956776650555447
ATG101	-10.5	-7.85	-0.15	-3.35	-11.33	-1.58	-0.254641504046745	-1.21732654096688	-1.19783823226645	1.1930750037529	2.09444901893491	-1.49035849331319	-1.48258765135919	-0.88776	0.39026	0.0524125178818578	-2.29425248725001
PSMB8	-10.05	-3.72	0.58	-2.75	-2.91	1.28	-1.67190021703489	-0.682093231849663	-1.6014919570916	1.60771322850611	1.60444499379519	0.79825935407816	-0.647667544868264	-0.30247	1.4539	1.18206477475983	-1.31844716753987
SOCS1	-9.95	-5.98	-5.33	-0.36	-11.57	-1.65	0.355466683496066	-0.372366490042803	-1.04336343864102	-2.03353996666181	-0.866638704091775	-1.94974935982181	-0.595124878353131	-0.64314	0.34061	1.00590764162351	-1.46949712885762
VDAC2	-9.16	-7.04	-2.91	-1.15	-11.24	NA	NA	NA	NA	-0.820028254918615	NA	NA	NA	-0.49593	-0.94382	-0.250992380698645	1.59021655554678
JMJD6	-9.08	-7.55	1.41	-2	-5.18	1.36	-0.121342195173877	-0.675087775191006	0.446577699612266	0.428812062200459	-1.59357168773283	-1.08162318060885	0.913537348454851	-1.6245	-0.042649	1.11946925518437	-1.46769900922942
EI24	-7.6	-5.92	-2.07	-0.34	-2.57	0.36	-1.65556471869601	-2.10256285276629	-2.76907322058306	0.550086566633789	-2.10683366789152	-0.851124854779593	-1.21166667649719	0.32305	0.35017	NA	NA
MED24	-6.92	-4.86	-1.12	-4.46	0.36	-1.05	-0.687258254951389	-1.39010169062407	-2.20849192639634	-1.72581889183129	-1.89935359896508	-0.135824528263469	-1.3174435237476	-0.54967	-1.4507	2.48880290543951	2.25562701308841
SAMD4A	-6.8	-2.15	-0.69	-0.06	-1.11	-0.68	-2.30744544945905	-0.669776933455966	1.23917688186076	-0.559735301053551	-0.851016836906253	0.664609955492108	1.78489715639703	0.7197	0.61095	-2.34110031981297	-2.54695321809385
TMEM127	-6.79	-5.15	-2.04	0.31	-9.01	-2	-1.24350988669124	-0.0717762170962093	-0.796605813551982	0.577206450594601	-1.94298475759611	-0.121569461816398	-1.42377366986995	0.27266	-1.0005	-1.92699703055436	-2.61505150984711
KDM5C	-6.74	-2.63	2.28	-0.45	-2.12	0.82	0.941243674437551	-1.94233961696989	0.0661228738526692	0.440134080132374	1.57560007000996	0.763307550771507	1.31252813345762	0.22146	-2.0825	-3.71356493212193	-1.63334717644361
GLRX3	-6.04	-2.69	-1.11	0.6	1.65	-1.06	-0.503091418273723	-1.8527095532339	-2.63825456079345	-1.76800540543798	0.67040444789155	-0.960308447066358	1.38461572678516	-0.091716	-1.1335	-2.36012455636855	-0.578035725089516
TNFAIP3	-6.03	-5.13	-1.31	-4.16	-10.98	-2.07	0.7986041164281	-0.534088941965823	-0.100509299867483	0.913841759670107	0.319536127917289	1.67518469242939	-1.14637505397204	-0.041623	-1.4102	1.85494556736145	-1.10800420471568
SRCAP	5.87	-0.25	-2.65	1.89	-0.15	-0.27	-0.514360457501001	-0.614537803671957	-0.250992380698645	-0.753882133014655	-0.895724353887845	-1.00811345292648	-2.42064497782543	-0.88856	-0.30235	-3.18840501943474	-3.01682171464877
PCBP1	-5.38	-4.15	-1.13	NA	-2.57	NA	NA	NA	NA	-1.21297337543397	NA	NA	NA	-0.579	0.97847	-2.96037979482334	-2.51666920380966
MED16	-5.33	-3.2	1.15	-2.75	-0.05	-0.88	0.442067999643762	-1.29877254314631	-1.91386036428662	0.381570458339579	-1.48135499792446	0.813345494619261	-2.13038307445424	0.76031	-1.4929	-0.871685449944437	1.12558788132971
SETDB1	-4.81	-3.88	-2.77	1.95	-1.52	-0.2	-2.21599273064131	0.545659523591683	-2.80711108742069	-0.370593935100064	2.76370032325598	-0.161169376225936	0.376399389222526	0.7127	0.01353	-0.906105527372686	-1.32981267112728
RB1CC1	-4.47	-7.1	-0.22	-2	-6.72	NA	-0.761530949977095	-1.18519590161441	0.340340660650955	0.967168112704151	-0.730114825341594	-2.46175778967545	-1.2676583069205	0.473	-1.2712	0.754881644897831	-1.80754079462022
PSMB4	-4.1	-0.55	0.29	NA	-2.85	0.34	0.0215837451543973	-1.27927566191257	-0.468174228929328	-0.296065579206054	-1.94907892553966	-0.783352740940461	0.632194179812083	-1.0189	-0.62035	-1.49517030983405	-1.69318636034844
DNTTIP1	-4.07	-5.08	-0.3	-3.51	-3.01	0.98	-1.38530900958018	1.20770695979128	1.17633759067307	-0.284692156896959	-1.20646044974551	-0.585844524396125	-0.872015356604932	-0.57771	-0.45826	1.18085583181609	-1.0092807697333
HUWE1	-3.92	6.03	-2.09	0.02	-0.92	3.33	1.97023014655474	1.66512409754601	0.344566891318747	0.335696162431298	-0.986108241166501	-0.552654522222496	-1.80739957616211	-1.324	-0.53725	-2.66728850318536	-0.668491352524914
PRPF3	-3.9	-1.9	-2.25	-0.81	-1.13	-2.18	1.60297578656538	1.0127072790201	-0.643622895180568	1.33427422983432	-3.00011239454821	0.732472863341739	-2.44851614765572	-1.2368	-0.28355	1.7956638152896	0.648533423952689
BECN1	-3.8	-2.97	-2.27	-0.41	-2.96	-1.12	1.23293504284829	0.469797081124807	-0.0858822774473275	-1.45303513154078	-1.28012834880966	-1.84578107203469	-1.32569724604685	0.67577	0.11273	-1.46585424244548	-2.14043039921397
TNIP1	-3.68	-3.23	1.41	-1.17	-2.13	-0.09	-0.129426727567658	-1.80623269454541	-1.07874818275837	0.98872031614535	-2.00286295770171	1.90637168246047	-0.727107670860665	0.43218	-1.7298	-2.29592797337763	-0.903124165271389
RPL28	-3.67	-1.35	-0.94	-0.31	1.38	-2.01	-0.756015337513175	-0.700011696371556	-1.69880463513835	-2.21663564093621	-0.890718886514953	0.968249057174975	1.23015250909356	1.0946	0.17895	-3.55814720321044	-4.56395016458189
TAB1	-3.33	-9.01	0	-3.22	-2.09	-1.55	1.75077891446667	-0.634583641421187	0.615476627449374	-1.46553137047656	-1.35673949028573	-2.00919931822624	-1.98306651753785	0.97101	-0.66889	-1.99416523522062	-1.44783214635748
PEX12	-3.31	0.36	-2.1	-0.93	-3.84	-1.44	-0.422719399421012	-1.60923026927376	-0.267323622822602	-0.491263629987789	1.87084909844896	-0.290387245698084	-1.64510577443655	1.0376	1.6547	-3.23123629156941	-0.403881311055536
ZC3H13	-3.29	-2.69	1.59	0.49	-2.29	-0.95	0.887927037253671	-0.0881468001163629	-0.643622895180568	-0.389075900928962	-2.06031957264539	-1.41400647956546	-1.02551553310999	-1.6439	0.57299	-2.67959174685059	-3.34359625178017
ATP6V0A1	-3.13	-1.41	-0.94	0.63	-2.33	0.5	0.187562021811193	1.36888891915118	-2.73924748069543	-1.56344484128724	-1.17005210752954	-0.166758593497463	-0.782058830855423	-0.65597	-0.61867	-2.8568410879686	-0.23604210249022
YEATS4	3.1	-0.73	-0.31	0.47	-2.06	3.38	-0.584684318771744	0.891278089753846	-0.3383492682174	0.28103963507637	-2.33453357736051	0.82062482981486	1.27655329451246	-0.67742	-0.14208	-3.18464835898176	-2.17590987853245
GRB2	-3.05	-2.87	-0.84	-0.32	-1.78	0.33	-0.668648071505528	-2.16008616288153	-2.82288257433601	2.00568375035898	0.902558990345218	0.453151018712177	-0.164242811483652	0.35552	-0.47698	-2.60224374898726	-1.24928733096402
INTS3	-3.04	-5.14	-0.7	-1.71	-0.71	NA	-0.103961375892834	-0.466608506297429	-1.95276034023517	-0.937191619189559	-0.678460122144357	-1.70081357157392	1.91173650136692	0.058872	-0.74542	0.650018920639054	-1.67131234147401
MBTPS1	-2.86	-0.16	2.05	-1.3	-0.21	-0.25	1.01136869187258	-0.688846293081381	-2.16908804693907	0.0551738021383168	-2.33924030924326	-0.16139792609085	-0.551253368487171	-0.69013	0.25131	-3.50377079386165	2.40343171686598
HAUS4	-2.71	-2.49	0.41	1.86	1.34	2.33	-0.88162431815244	0.59261326440639	-1.93287173980382	-2.2078031270275	-1.62378360653073	0.835777653849078	2.78252325292926	0.31645	0.47248	-1.10472215589752	-1.6757559788077
CSNK1A1	2.73	2.82	-0.35	-0.9	-2.42	-0.11	-0.525349863331273	1.94667258808875	-1.48686677867463	-2.50950647236529	-0.60897652352058	-0.915860627030434	-1.35425198181637	0.24799	-0.9834	-2.89029537998656	-2.34971480720384
IGBP1	-2.69	0.59	-2.2	1.18	-2.52	-0.04	-0.647389329715837	-0.562698802244933	-1.43987064353293	-1.42956467570937	-2.5659623350467	-2.36221302734234	-1.69218870199494	-0.33876	0.27905	-0.839444359447564	-1.00403861769506
MED9	-2.67	1.02	-1.87	-2.76	-0.8	-0.24	-0.665141489318994	-1.11806320477354	-1.11553786896426	0.876386416957355	1.43970103653314	1.0549241854546	-2.59683904657262	0.12221	-1.2688	-2.50414418561288	-1.1184379353613
UBR4	2.6	-4	-1.87	-1.7	-1.18	-0.61	0.471001029111425	0.145343083670794	-2.00176511036869	-0.338057310311332	1.10703221585124	-1.14376767232094	1.39677913017805	-0.74111	-0.31075	-4.27237727349709	-1.51615564759722
YBEY	-2.43	-1.44	2.37	NA	0.45	-1.19	1.28657059004713	-1.41276783027705	-2.00585238186128	-1.80867184210043	-1.54295374166138	-2.61524297901858	-2.82086736827449	-1.17	0.081993	-1.45558997861424	-1.38404720851754
RFC2	-2.43	0.87	0.92	NA	-2.13	-0.78	-0.798948973727131	0.297977940752825	-0.309159763009718	0.100358141729154	-2.96492167730928	-2.00454230412985	-0.777235230883795	-0.16423	-0.69778	-1.20537128914904	-2.09799032549246
DUSP11	-2.31	-2.83	0.93	-0.67	-2.42	-1.62	-0.258449523779331	0.442593205764072	-1.74532679684962	-1.59186073408636	-2.59240319415358	-0.901805871929763	-1.45837938387574	0.93673	1.0259	-1.41785877615683	0.528690742759263
TADA1	-2.24	3.77	-0.59	-3.79	-0.8	-2.23	-0.304430413562614	-1.22541207401821	-1.84319873181741	-2.03353996666181	-0.642420796925315	-1.96593603401222	1.90061850417449	1.3472	1.9955	-2.65057871773459	-2.25089797558033
TRAPPC1	2.12	-1.36	0.62	-1.64	1.38	-0.34	-0.332515549811394	1.32188634529045	-1.80153878417157	-2.29338238264847	2.11025961620623	-1.65624605520895	-1.79141951256668	-0.14962	-0.68463	-2.65230622759313	-1.99710295506645
PTAR1	1.99	-1.93	-4.11	0.9	-2.81	-0.3	0.729787641204512	1.11895344650509	-1.39745097289821	-2.50950647236529	-1.22091025831959	-1.32775214761619	-1.572537281778	-1.6626	-0.68178	-0.403935704402513	-0.715467849926414
