row_id	RENCA.CTL.LAWSON..Gene..Statistic.Value	EMT6.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.LAWSON..Gene..Statistic.Value	X4T1.CTL.LAWSON..Gene..Statistic.Value	CT26.CTL.LAWSON..Gene..Statistic.Value	MC38.CTL.LAWSON..Gene..Statistic.Value	B16.CTL.KEARNEY..Gene..Statistic.Value	MC38.CTL.KEARNEY..Gene..Statistic.Value	B16.CTL.PRFKO.KEARNEY..Gene..Statistic.Value	MDAMB231.CART.HER2.KEARNEY..Gene..Statistic.Value	MC38.NK.KEARNEY..Gene..Statistic.Value	MC38.CTL.PD1.KEARNEY..Gene..Statistic.Value	MC38.CTL.IgG.KEARNEY..Gene..Statistic.Value	MART1.CTL.LIBA.VRED..Gene..Statistic.Value	MART1.CTL.LIBB.VRED..Gene..Statistic.Value	K562.NK1_1.PECH..Gene..Statistic.Value	K562.NK2_5.PECH..Gene..Statistic.Value
RBM15	3.63	4.19	1.06	-0.07	10	4.74	-1.52743048808531	-1.826985164615	-1.5813238896255	1.27214951821107	0.498488177576786	0.765052975381992	-2.63061710675012	0.15689	-0.3476	1.05812161768478	-1.74695006684627
DPF2	3.55	-0.41	3.31	1.76	-0.71	-1.86	0.832653813174086	-0.386913832962152	0.134660885853711	0.0116811534019648	0.737826315179069	2.06827682183641	-2.19351909999436	-1.0729	1.0563	-0.752351009068916	0.0164943619368316
RCE1	3.41	3.34	-0.85	-0.52	4.86	2.64	-0.0724045046673558	1.80462106142962	-0.108297128936312	0.562229007833295	2.13464522922359	-0.714043955000183	-1.0826585693921	0.39171	0.69184	1.48288864050013	-1.47524011528341
FIBP	3.41	2.97	2.22	-0.21	3.04	-2.16	-0.325397826883962	-2.93443085206135	1.17363813401084	-0.53411785107799	-2.30683536327192	0.0469413147009882	-0.0584879004985891	-0.04932	0.78403	-0.921633075230974	-1.57580825231505
NDUFS1	3.4	-0.57	2.07	-0.14	2.55	-1.56	-0.99474562113901	0.0224863504642798	0.353091293285087	-1.83548405167507	-1.10948734673966	0.646585878346551	2.52213781341274	-0.33708	1.0113	-0.318428397942614	2.77921765885402
CYB5R4	3.37	3.25	0.41	1.63	0.18	0.66	-0.0397405160986033	-0.829255227404266	-0.54996992765371	0.965169341950254	1.53684202262224	3.5253272118656	2.3769173368568	-0.19255	-0.31843	-1.17020122496039	1.19860904369232
ANKS3	3.37	-1.13	-2.46	-0.49	2.51	3.17	-0.0763759535536564	-1.49225617836965	0.0423245183234357	-0.402603410926312	0.599769293956976	-1.16935656993184	-1.86971072044963	-1.0853	-0.97758	-1.11460436268682	1.19599118252358
PET100	3.28	-1.37	0.07	1.85	1.38	1.44	0.230118100657266	-0.221118712997571	-0.650173742343251	-0.360250249649017	1.91660604080704	-1.33253027443835	-0.984967571699887	0.44219	0.31958	-0.697643772278797	0.651846811321206
ATXN7L3	3.24	10.01	1.95	1.13	5.33	0.18	-1.17174363125915	2.12688066198827	-0.920943358225661	-0.195987435891449	1.7886078049916	1.46510599980396	1.15034938037601	2.3399	-0.038376	-4.80211306046883	-4.06225953635417
CARD10	3.22	2.12	0.16	2.61	-0.74	1.54	0.00157917646937527	-1.31297313767366	0.0084223705770384	-2.0937977578029	1.86372736827191	1.65548577286024	0.146179105199249	0.90958	-1.017	-1.2498345285588	-1.26553391151835
PSME2	3.02	0.49	0.49	2.03	5.32	1.58	-0.427053995263242	0.246132067776219	0.0388625183544006	0.985374806472205	1.35673949028573	1.01346103232806	1.21135337644466	0.048762	0.25567	-0.143215485792307	-2.346733408753
PKNOX1	3.01	4.62	-1.07	0.88	2.54	1.36	-0.434397242259781	0.813624671108292	0.473298825432437	-1.63872761582791	0.122099775089151	0.39603392696592	0.869415332027619	-0.28857	-0.96311	1.57995138589434	1.97720909483478
PTEN	2.94	0.61	2.15	0.04	0.91	1.52	0.261145895207828	0.565020236322471	0.818485532064158	0.328914915611317	0.970253799484246	0.178080189298205	1.15751993367324	0.14297	0.90607	-0.158224371457572	-1.70293624602155
IFNAR1	2.9	7.38	-0.12	3.99	11.52	-1.71	0.881513408298434	2.19113534024149	2.36692845010168	-1.48423721546007	0.181519281614291	1.34333352867929	-0.638943020549408	0.72086	-0.74636	-1.48314458693731	1.69741621025112
SURF1	2.9	2.01	0.9	0.07	0.82	-0.72	1.41711263167828	-2.00675271459529	0.924742243611412	-2.0937977578029	1.40484962116446	0.817154746494844	-0.274917007932919	1.5317	1.4814	-1.58799265512193	-0.167521159374269
LSM12	2.82	-0.43	0.65	2.39	-1.2	1.38	-0.138683825447241	-0.518886345838261	1.29978111463151	-0.0476439559544766	-0.213290991037233	1.76303847930567	-0.898235520728614	2.1532	-1.5011	1.02183288943497	-2.4512930823029
TTL	2.81	-0.68	-2.56	4.08	2.13	1.71	0.306006101709712	-1.58930300788433	1.00549199942784	-0.55014488893025	-1.9014125269762	1.47890390327052	-0.853936814573908	-0.010735	0.40479	1.3873994258067	-1.46132599237471
SCAF8	2.8	4.62	-0.51	1.86	2.86	-0.75	-1.20723929869597	-0.568198779677632	0.0342221546882938	0.667958630746307	0.228831349263525	1.26441809913264	-0.972141819274568	0.25239	0.35935	-1.91542755382516	-1.01534793948393
DDX39B	2.78	3.03	-0.67	1.83	4.4	0.62	-0.674017795542771	1.49055639428538	-1.19542761938235	-1.98251169294326	1.37446941203167	-0.141746808955411	-0.975040844424288	0.48935	-0.43568	-1.52978482101087	-0.857841482969323
SRSF2	2.68	1.09	-0.74	1.75	3.06	0.17	-0.584238295404977	0.677608429472377	0.99565047699722	1.2843829376853	1.64781811782886	-0.311000817702771	1.1163321143127	-1.4308	0.1448	0.322043157128897	0.429774065601937
NDUFA6	2.67	2.25	-1.73	0.15	3.19	-0.21	-0.993266702144987	-2.28440057184908	-0.931296909858259	1.08998443619998	-0.180500069293451	-1.49669745035389	0.927205206709343	1.3191	-1.4276	-1.35792967534189	-1.07324768669526
EPHX4	2.67	1.94	0.79	0.46	2.22	-0.17	-0.282474104553095	0.23181719646278	-0.257283407920917	-0.280544225588478	1.24972505910244	-1.17929683026424	-1.42838873418889	-0.044584	1.0778	3.04165678336223	1.73195261264345
DUS1L	2.61	2.26	-0.53	1.12	2.49	-1.27	-0.781888677007595	-0.673483095026215	-0.0639374907934369	0.346908580763789	-1.14777853659907	1.24058255416764	0.582900921885822	0.66687	2.5421	-2.3978814784611	-1.32234288030153
ABHD16A	2.59	3.58	-0.56	4.26	3.09	0.58	-1.5819192754449	-1.24367282890919	0.133244523611124	-0.458351402560502	-1.03669075919111	0.641558324262988	0.468006418092824	-0.47209	1.3064	-1.87406113005564	-0.754115285061626
NXF1	2.53	3.08	1.11	2.58	1.92	0.18	-0.082461163695676	1.33553288412206	-1.05234781869663	0.496502392199108	-2.19213167771916	-0.838660232864754	-0.875282892718391	-0.20604	1.0092	-0.094011527088991	3.06520616272068
FBXW7	2.53	1.13	-2.75	3.05	3.98	-0.79	-1.7065485234766	-1.39455524212787	-0.433213048747567	1.01555781903788	1.2973755527038	-1.43103564353175	0.70071643077623	0.3825	-0.8845	2.26150505541299	0.842979337308468
USP4	2.49	0.65	1.18	2.97	-1.34	1.65	-1.57699793598724	-0.201586500003676	0.170445235224582	-2.36567572864387	2.28073724197815	-1.4557273720496	1.272656387336	-0.79177	0.5122	0.00120318186211993	0.252415397370963
FAM117A	2.48	-2.66	0.21	-0.3	-0.62	1.49	1.24372715032017	1.59466128473877	0.0371818628010722	-2.16125042705561	1.55431205243829	1.49154677591011	0.977180096124016	1.3424	0.24782	1.27570449222293	0.564579223831004
TAF13	2.48	0.18	0.45	1.82	0.92	1.74	-1.58734733535614	-0.673483095026215	-1.73158207495982	0.593599523222488	0.508846247116391	-1.46601573574963	-2.07240164597212	-0.067458	0.56864	-1.84315762377756	-2.98261206147416
CYC1	2.47	0.34	1.12	2.02	2.26	1.06	-1.34232697734725	-0.962337694528826	-1.45428971762242	-0.04520990409172	1.54241820690397	-1.42198019656873	-1.18514530734551	0.27073	0.80588	-1.38434774863761	-1.11708028317919
CDCA3	2.44	3.67	0.2	0.05	0.2	1.15	0.879260588011358	-1.87736562107939	0.4635642117678	-1.75441162980928	2.85788122187929	-0.760359039767314	0.0786135620121418	0.1111	-0.60861	0.846560748459191	1.42445777469475
FXR2	2.42	-0.62	-0.66	1.91	0.54	1.85	-0.926088480507388	0.471869415218409	-0.420993264847345	-0.714755721319457	2.01093805613784	1.51373131187457	1.47133700667047	0.5276	1.0039	0.611724574560123	0.448350860340556
THOC5	2.29	3.33	0.3	-0.44	0.46	0.27	-0.043102282274333	-1.4787692384215	-1.11862535956376	-0.934550498296452	-0.821081231283276	-0.984804723520946	-1.68180839663271	1.2319	0.26049	0.778965564347545	1.13690022037367
S1PR3	-2.24	2.01	0.37	1.79	-0.46	-1.83	-0.418365372487015	1.62289431060219	-0.0932562348972894	0.894901022737055	0.982243300878534	-1.06300430291656	0.489623986213753	-1.1748	1.7258	-2.13594373757427	0.200588948830807
SIGLEC15	2.26	0.32	2.43	2.68	-2.22	1.28	0.179404625102421	-1.86377007388943	-1.12007923151719	-1.4496505210861	0.793339584258129	-0.249776750989035	1.92961950696364	1.4616	0.041826	0.325292112320725	1.49363135275921
COCH	-2.17	-0.78	-0.69	3.41	-1.05	1.3	1.91136259583149	1.4357341635151	-0.0361032887447838	-0.517825535872623	-1.17005210752954	-0.820870563204616	1.47037580693987	3.1539	-0.10648	-1.2809250305208	0.0715249100147545
QRSL1	2.15	0.89	0.7	1.35	2.53	1.6	-1.08369512012069	-2.50662827490992e-05	-2.23401630876753	-0.755181645534771	-1.12417215425346	-1.13393932516839	0.808817723561225	0.98866	-0.20753	-2.09062157678235	-2.29824234254675
EPHA4	2.13	-0.73	2.49	-0.66	0.9	1.81	-1.74353618102225	1.03339304484462	-0.561524548766124	-1.50346180190767	1.18844026722701	-2.0843317635216	-0.582514763657742	-0.26985	0.046666	1.0545744373402	0.459966871048463
MRPS26	2.12	-1.35	0.53	2.11	-0.26	-0.9	-0.798948973727131	-1.92134680560889	-1.27034995834631	-0.516020630960452	-2.09225176584397	-1.67235672576315	-2.03104923868459	-1.0263	1.514	2.60898207176705	0.941907499905543
IL12RB2	2.1	1.28	2.17	-1.16	-0.69	-1.11	-0.579843737105694	-0.0377337080357872	1.02712841552577	-0.527854970981407	-1.02250911664381	0.83109493647054	0.859037186774333	0.13684	1.7188	1.34699451259528	0.896398440361271
ATP5D	2.1	-0.62	1.23	2.47	2.63	0.77	0.314580745927657	-0.375726815859319	1.55843569733868	0.940073228409676	-0.678460122144357	-1.57415335530138	-1.93070131673016	-0.85044	0.68929	1.23465212682699	2.02992660777031
CUL5	-2.05	-1.42	2.01	-2.27	2.31	0.37	1.16139820162063	-1.8070274456294	-0.00393541654944318	-2.0937977578029	-2.02231325626127	-0.209830458213907	0.499680592528225	1.3606	0.15976	-0.457404959893868	0.709522973844608
SUMO1	2.07	-0.43	2.44	0.03	1.05	2.05	0.412490421401897	-2.10256285276629	-0.0709971798277004	-0.968369231958762	-0.608222369884032	-1.2493420338908	-0.966288177973362	-0.48453	1.5309	-2.43995233316889	-1.18793251064564
AHCTF1	2.05	3.46	0.24	1.42	1.02	1.16	-0.352104358278553	1.8763444288684	0.623585249819529	-0.791726786491376	-2.7841875197375	1.8998561491	-1.01124329222477	-0.42576	-0.70004	2.93392970620867	1.96873090844092
GPCPD1	2.06	0.85	-0.27	-0.88	0.66	2.23	-1.01212142399295	-0.292165615587971	-1.89091269124353	1.62472109692366	0.96965196761078	2.98321236804268	0.873923345677613	-1.1862	0.50917	1.12214686595347	0.711071386711953
GAPDH	1.98	2.36	-1.21	1.8	-1.15	1.63	-0.29386639209658	0.468258139291547	-0.829432000498032	-1.2314890756377	-1.17005210752954	-1.7235782930215	0.857406985577632	-0.1206	0.93069	0.0346234528995343	-1.43883950728762
SLC38A8	1.97	-0.14	1.99	0.26	0.79	2.35	1.84686988695512	-1.38696642850138	0.807462623510295	-0.605148998379743	2.64063015597058	1.64045787651124	3.04809122871749	-0.54049	-0.30382	1.86510990837962	0.615113147484322
DYRK1A	-1.93	-2.64	-1.11	0.69	1.84	2.07	-1.71625161456647	-0.85860224336482	-0.881254660798083	-1.04851802949664	-1.42009508840534	-1.68849629282953	-1.85041332454738	2.6019	2.0357	0.958045134019242	1.11577139747431
HNRNPA3	1.93	2.15	2.44	2.48	2.18	0.28	0.471001029111425	0.0224863504642798	-0.62825027551742	1.38564280754301	-0.866638704091775	1.88750823331633	1.17204248364632	-0.8524	-0.60534	-0.607016442950012	-1.78798765219956
SLC29A3	1.89	0.37	-0.39	0	2.11	2.8	0.154367471734145	-0.402440322096121	-0.465155644610364	-0.140202495825952	2.30056908767552	-1.33383480996551	1.10583024821917	0.42107	2.1275	-1.5920654464699	0.449127061322428
SMG6	-1.82	0.58	0.74	-1.27	1.2	0.66	-0.668648071505528	3.6532518780486	-1.64453374412962	-0.620756269680241	3.03804296704142	2.55476994877938	2.13763966325649	-0.15023	0.87475	-2.42962624763772	-2.34400335078612
SMG8	1.85	3.69	0.18	1.13	-1.57	0.09	0.75022367869245	1.47509129673979	0.298056554222526	-0.944018880837555	3.25257601933776	3.00083546819162	3.27376188267998	-0.017656	0.43709	-0.298266199148891	1.89128732315017
SEH1L	1.84	3.73	2.01	0.76	1.41	2.71	-0.687258254951389	-0.785876232517042	-2.32733955674397	-2.43879807357754	2.1340339724828	2.6001316597089	-0.681492359015721	-0.22352	0.30419	-2.50295270820547	-3.65398635036027
EIF3H	1.83	4.81	3.96	4.31	2.18	NA	-0.308134487304721	-1.43482139336413	-1.15380530196186	0.189322578794281	-0.295306174726162	-0.992856276705012	-2.01481535076025	0.031795	0.15447	0.233826082364864	-1.19876329145815
EIF3B	1.81	-1.19	2.71	1.63	-1.03	1.48	1.13795325970219	0.622915578763655	-1.19373920370278	0.872895572077672	-2.47911725681008	-0.576466362233342	-0.369734933822029	0.50414	0.54231	-0.596951143460168	0.144304531680915
QKI	1.78	2.21	-1.56	0.38	2.66	0.17	-0.597520386736604	1.77945009352352	-0.876938579463491	2.78001731559999	1.85332353380481	-1.78300186337259	-1.08256848951196	1.0884	0.88467	2.35964967694163	1.39941690640279
KAT6A	-1.67	6.93	1.02	5.28	4.49	2.09	1.13174893956883	-1.7829895771883	0.669055617738957	NA	-2.30683536327192	-0.0419481901481354	1.01408960020643	-0.14901	0.018395	1.74868201824814	2.80298515384895
MEX3D	1.75	2.24	3.24	0.97	-0.5	-0.14	-0.932031977059975	1.74963104025237	-1.21245044742529	-0.280544225588478	1.35572085915571	2.82159152303504	-1.03789272685387	-0.31752	0.77891	-1.64527069666837	-1.88829766962485
TCP11	1.75	3.53	0.62	3.39	1.83	2.39	-1.81507750244153	0.426340157739162	-0.852313707559715	0.0632844475435922	2.51239730677621	0.580970998220381	-0.76706982765413	-1.156	0.69891	-0.863250051593421	0.992117932062682
SPRY2	-1.53	3.9	0.31	-0.97	0.9	0.63	-0.516536146310232	0.610365072129034	1.6021339137065	-0.986842206698523	0.591060328103523	-2.02246825426773	1.83237211232798	-0.08607	1.7425	2.79734802693935	1.11204221501857
RUNX2	1.6	1.99	0.22	3.92	4.94	2	-0.728970022411925	-0.570615956203892	-1.57261496668127	-1.88269288669697	1.3242199712257	-1.97602452143835	0.489313167867459	0.46971	1.01	1.61109967134544	1.68037693891185
SPRED1	1.58	3.79	0.58	-0.63	-0.82	1.51	-0.236609177164785	-0.712750760220043	2.2374031936673	0.325371397902275	1.67123130050442	-0.590314231417747	2.78863917313875	0.18585	0.2694	0.751220441496207	0.801607565381453
IGFLR1	1.5	1.45	2.07	2.13	-0.5	2	0.628158673220594	0.351971015005216	0.26467478967591	2.42122264506205	2.63305758096148	0.963134560363928	1.18458897049211	2.1135	0.46857	-2.3876170871642	-1.52320270326267
KCNIP4	1.5	0.71	-0.16	1.77	-0.52	1.36	-1.54599406989635	-1.67688996917987	-1.58433282384741	-0.559735301053551	0.916661588847758	2.53901832653584	2.28706550398174	0.5474	-0.75173	0.305507051776709	0.894826204531113
PGP	1.38	2.97	2.11	0.85	3.98	2.46	-1.03134300093152	0.977058887022564	-1.44506367855635	-0.213342277293131	0.743961115173476	-1.458314047386	1.43607148890131	0.083672	-0.35792	-2.44791386704431	-1.51127657345126
OFD1	1.38	-0.11	2.03	0.7	0.77	-1.78	-0.561818039492759	-0.335033255761082	0.815405914411642	-0.557274346907736	1.07991507412116	0.921019971811393	2.91463916773272	1.4634	-0.25339	0.174414143209763	0.962656367508713
CDC14A	1.35	-1.22	2.04	1.84	-0.29	0.47	2.02915996336449	0.184068139995316	1.54685588822879	-1.140543357578	1.4071598304695	0.875062315762676	-1.79438336633593	0.19112	0.60709	2.94093802048213	1.07641879581727
PPP6R1	1.31	2.68	0.99	-0.28	2.24	1.57	-0.781888677007595	1.0590873510745	0.74462243728592	-1.35944379914176	-1.22286682645308	1.5733232000231	0.719748270647939	-2.6215	-0.84132	-0.953730652633238	0.908299512535838
CPNE5	1.29	2.56	1.57	2.31	2.05	1.67	-0.601030007517012	-1.62748562119151	1.28754613531004	-0.491263629987789	0.669306470662218	1.74406360194087	-1.39898993940631	0.51567	-1.4402	-1.58223470685837	-1.94504136497407
ILDR1	1.25	-2.03	2	1.89	0.56	1.32	0.43825699046145	0.376264860937642	0.632929013763249	-0.483670123016015	1.1628262611733	-0.753216209990394	-1.13565734244455	0.19036	-1.1941	1.19737608682311	0.991134313049171
CCNF	1.24	2.93	-0.76	-0.25	3.16	-0.98	-1.92863653583478	2.21459318814593	1.83587598624564	0.199847309440752	-1.20646044974551	0.647358420014518	-1.28064040802576	1.9701	1.1428	-2.62770906858992	0.186235609588626
MAD2L1	-1.22	2.01	0.07	NA	1.65	1.97	-0.241819536717033	-0.52532108817725	-1.14516696499154	-1.88269288669697	-0.678460122144357	-0.827171258014329	-1.93914240850538	-0.58654	0.47949	1.15473246638581	0.136406418345271
SNRNP70	-1.21	-0.65	2.26	2.28	-4.33	2.41	-0.520091216596443	0.286833253077267	1.14753639555876	0.622976446403871	-0.866638704091775	1.57129561193999	1.49847455016389	0.83693	0.082847	1.90600158510647	2.05994289844429
AGPAT1	1.16	2.55	2.02	2.05	1.35	-0.71	0.725573942698066	1.30884753912033	0.39451615826171	-1.13642198264639	1.707097132609	1.77752439957386	-0.862013661710952	1.1713	0.27198	-1.09814769854294	0.289968939365242
TRIM39	1.06	2.67	2.56	1.26	-0.07	1.3	0.75704984592756	-0.939956254633775	0.280596370711195	-2.41470403702102	0.637805959068303	-0.393811788955903	-1.02721337809796	-1.1377	-1.1069	-1.49765849720988	0.255729130531088
SCN5A	-0.99	1.18	2.18	0.03	0.47	2.56	-1.82746422779788	1.00362375515169	-0.721730803073094	-1.67361646756045	-0.935287801726196	3.181853142219	2.29279170176757	2.3842	-0.19669	-1.7484854667594	-1.2142297578936
PHGDH	0.98	0.6	1.44	1.83	1.46	1.2	0.834782821045558	-1.14947541161447	-1.11914097884669	-1.54166097456501	-2.30683536327192	-0.708846077995482	-0.313448423136066	1.0749	-0.63393	-0.248794171304584	0.360009539146742
CNOT3	0.95	-2.5	0.44	NA	2.95	2.07	-0.986964585978159	2.55589852728206	0.137393207201258	-2.00850175258324	0.888261693543778	-1.48608741750377	-1.30751459908476	1.1916	0.21762	2.48891387919759	0.52753805056001
METTL4	0.85	3.6	-1.11	2.49	1.14	0.6	-1.54218765126829	3.24080186212773	0.926242443030864	0.172378466521358	-0.866638704091775	2.03998319039956	-1.23939297976301	0.45586	-0.34955	1.27581761275864	1.01266542070573
VMAC	-0.83	2.39	-0.01	1.98	0.81	1.83	0.550786557772012	-1.83985178681892	0.870696298675064	0.621060222425643	-0.444695253404638	2.2879230967137	1.26402793648756	-1.1225	0.092801	0.416013670343887	1.06049382003836
PANK4	0.81	-0.84	0.57	2.06	1.67	1.7	NA	NA	NA	-2.37409969296135	NA	NA	NA	-0.28346	2.464	1.97438484456787	0.982730693804028
SERBP1	0.8	2.72	0.59	1.98	0.08	-0.75	0.642852212484036	2.99833399319708	-1.84026051045176	-2.47107384201001	-1.39958375969692	1.54685588822879	1.30484979341464	1.0927	0.1027	-2.98370628250481	-1.70566752137557
NKX2-8	-0.74	-0.29	-2.04	2.25	0.59	1.31	0.855959828415041	-1.57707616855609	-0.262287238405467	-0.501811674774906	1.94522420371669	-0.851376935112744	3.20257252212589	-0.98018	-0.64151	-1.0609337720237	0.494008749936957
EHMT1	-0.73	4.89	0.91	1.47	3.87	1.66	-0.717671273055887	-1.14947541161447	-0.515133120229843	-0.345631060618429	-0.315002178244392	-1.12743170613552	1.0424998391591	-0.70042	-3.019	1.07592678886999	1.053133087915
ST6GAL1	-0.73	0.8	2.56	-0.67	1.68	2.18	-3.49310429489907	-0.121190687561368	-1.32668773448232	2.25168792919729	-1.13589622116731	0.74131907274048	3.14408682371931	-0.49306	0.67826	1.02955276149345	0.436574443722599
GRIK2	0.65	0.27	0.97	1.88	1.1	1.6	0.243729918995385	0.815650600702727	0.251509782350931	0.135166794839123	3.09649070701235	-1.93092765216949	1.32075820394193	0.87241	0.53861	-0.580792960572426	0.860161543530391
ANAPC2	0.68	0.69	-2.26	0.88	-2.33	2.47	-0.29386639209658	1.64020764642214	-0.829432000498032	0.841549797433413	-1.89935359896508	0.727270934070053	0.859871282888554	0.71879	1.0273	-1.588328836881	1.19968937761212
FNDC3B	0.59	2.99	-2.14	1.14	3.08	-1.37	0.911105099124399	-0.527365207207631	1.74453410375986	-0.825830940463411	2.95599712108473	0.729820356102314	-0.0940870592508075	0.32292	-0.48944	0.504343520192688	0.360945752868944
ZFYVE21	-0.67	-1.66	7.01	2.24	-1.1	1.73	-1.0069475081898	-1.61107213932466	0.645875480684992	-1.89510871731545	-0.577088015219747	0.758586417904326	1.29562126265435	-1.1773	-0.20504	-2.4339271699349	0.482543365666753
FBXL15	0.55	0.01	0.44	2.62	-1.65	-0.46	-1.22461583182173	-0.0349244302135718	0.711878527225627	-2.41938911095173	-1.00101408279412	0.0619030984829108	-1.82726456717272	0.75692	1.0688	-1.42028749574682	0.65125793106673
GPRIN3	0.58	0.07	-0.52	-0.09	4.5	-1.07	-0.715467849926414	-0.352104358278553	-1.1076800921478	-1.03262376980278	1.93430206093438	2.80118069876758	1.20485314346757	-0.15179	1.0991	0.485107629979264	0.821713454287618
AMD1	0.51	0.89	3.55	1.9	3.32	-0.08	-0.565490770805666	0.346456061065837	-1.20775893844165	1.90674204111848	-2.04004343289317	2.16163916696883	1.84836194520744	-0.35329	0.68613	-0.936025613944623	1.65666115851305
FASTKD2	0.49	0.57	-0.77	3.2	0.19	2.2	-1.73322322809318	-1.02509153356311	1.05444331505012	-0.419980087969882	0.785023142502884	-1.92640358620356	-3.36450174270676	1.9743	-0.54926	1.56903407240868	0.0329681330030243
CRISP1	0.42	2	-0.56	1.74	2.16	0.59	2.26618595835384	1.39707838815439	1.0887140591622	-0.538546226871022	1.06933221366966	-1.25936091523369	-1.50669053025025	0.24531	0.062979	-2.27616727108699	0.59844956803152
ERMARD	-0.53	2.81	-0.08	0.84	1.74	1.21	-1.02734083586134	-1.76369110214017	-1.2836055695535	0.251380425630918	0.113290813646943	2.8279303385943	0.930871574543803	0.58524	-0.87058	-1.81630238243717	0.275672004355318
